#Rayon;Catégorie - Famille;"Durée brute de la tâche (en heure)";"Durée de la tâche arrondie  au quart d'heure supérieur le plus proche (en heure)";Priorité;Contrainte horaire sur des tâches de type « fin avant »;Commentaires;Nombre maximal de divisions de la tâche;
R10;GAZEIFIE - ;2,1;2,25;1;;;3;
R10;NON GAZEIFIE &SIROP - ;3;3;2;08:30;;1;
R10;BIERES ET PANACHES - ;1,2;1,25;1;08:30;;5;
R10;CIDRES - ;0,1;0,25;2;;;3;
R10;EAUX - ;3,2;3,25;4;08:30;;3;
R10;VINS DE TABLE ET DE PAYS - ;0,8;1;1;12:00;;3;
R10;VINS - ;1,5;1,5;2;12:00;;3;
R10;CHAMPAGNE - ;0;0;2;;;3;
R10;MOUSSEUX - ;0,1;0,25;3;;;3;
R10;ALCOOLS - ;0,5;0,5;1;12:00;;3;
R11;SOIN DE LA MAISON - ;1,33;1,5;1;08:30;;3;
R11;PAPIER MENAGE - ;0,1;0,25;1;;;3;
R11;PETITE DROGUERIE - ;0,2;0,25;2;;;3;
R11;SOIN DU LINGE - ;0,3;0,5;3;08:30;;3;
R11;DEO MAISON - ;0,12;0,25;3;;;3;
R12;PAPIER HYGIENE - ;0,4;0,5;1;;;3;
R12;MOUCHOIRS ET COTON - ;1,9;2;1;;;3;
R12;COUCHES  - ;0,3;0,5;1;;;3;
R12;HYGIENE FEMININE - ;0,9;1;1;;;3;
R12;BEBE - ;0,3;0,5;2;;;3;
R12;SAVON BAIN DOUCHE - ;0,3;0,5;2;;;3;
R12;DENTAIRE - ;1;1;1;;;3;
R12;CAPILLAIRE - ;0,5;0,5;2;;;3;
R12;COLORATION - ;0,1;0,25;3;;;3;
R12;BEAUTE FEMININE - ;0,6;0,75;3;;;3;
R12;MAQUILLAGE - ;0;0;;;;3;
R12;DEODORANT - ;0,3;0,5;3;;;3;
R12;BROSSERIE - ;0;0;;;;3;
R12;SANTE - ;0,6;0,75;1;;;3;
R12;SOIN HOMME ET RASAGE - ;0,3;0,5;1;;;3;
R14;BISCOTTE  - ;0,8;1;1;;;3;
R14;CEREALE - ;0,6;0,75;1;;;3;
R14;MIEL, CONFITURE - ;0,6;0,75;3;;;3;
R14; PATE A TARTINER - ;0,2;0,25;5;;;3;
R14;CAFE  ET PETIT DEJ - ;1,4;1,5;1;08:30;;3;
R14;THE - ;0,6;0,75;2;;;3;
R14;LAIT - ;0,1;0,25;4;;;3;
R14;GATEAU - ;1,9;2;1;;;3;
R14;CONFISERIE - ;2,1;2,25;1;08:30;;3;
R14;DESSERT ET AIDE PATISSIER - ;1,4;1,5;;08:30;;3;
R14;SUCRE  - ;0,4;0,5;;;;3;
R14;FARINE - ;0,7;0,75;;;;3;
R14;DIETETIQUE  - ;2,4;2,5;2;;;3;
R14;ALIMENT INFANTILE - ;1,7;1,75;;;;3;
R14;POTAGE - ;1,2;1,25;6;08:30;;3;
R14;PATES - ;2,1;2,25;1;08:30;;3;
R14;RIZ - ;1;1;2;;;3;
R14;PUREE  - ;0;0;;;;3;
R14;CHIPS - ;0,5;0,5;2;;;3;
R14;CONSERVE  - ;2;2;1;08:30;;3;
